priority,score,tier,miles,place,name,url,tags,ingestion_class,notes
P0,110,0-15,5.6,Gladewater,Gladewater Chamber of Commerce,https://gladewaterchamber.com/,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,75,0-15,5.6,Gladewater,Gladewater Mirror,https://www.gladewatermirror.com/,"newspaper, local_news, event_notices",news-scrape,Weekly/local community notices.
P0,100,0-15,5.6,Gladewater,Gladewater Opry venue reference,https://cinematreasures.org/theaters/21532,"music_venue_directory, verify_current_page",html-scrape,Venue is known locally; verify current Facebook/event source before scraping.
P0,110,0-15,5.6,Gladewater,Gladewater Round-Up Rodeo,https://gladewaterrodeo.com/,"festival, rodeo, annual_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,5.9,Kilgore,Kilgore Chamber of Commerce,https://www.kilgorechamber.com/,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,75,0-15,5.9,Kilgore,Kilgore Current Calendar,https://kilgorecurrent.com/category/current-events/calendar/,"online_news, calendar, events",calendar/scrape-or-feed,Useful local calendar category.
P1,75,0-15,5.9,Kilgore,Kilgore News Herald,https://kilgorenewsherald.com/,"newspaper, local_news, event_notices",news-scrape,Local news/events and community announcements.
P0,110,0-15,5.9,Kilgore,Texas Shakespeare Festival,https://www.texasshakespeare.com/,"performing_arts, festival, theater",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,5.9,Kilgore,The Back Porch Kilgore - Live Music,https://www.thebackporchkilgore.com/live-music,"music_venue, live_music, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,5.9,Kilgore,The Back Porch Stage - Eventbrite Organizer,https://www.eventbrite.com/o/the-back-porch-stage-62783609253,"music_venue, ticketing, eventbrite",aggregator/ticketing,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
